name,lat,lon,postal_code,street,block,status
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.3161312806032646,103.85023293507001,211041,Cambridge Road,41A,Existing
Bukit Panjang Hawker Centre,1.3775974234205033,103.7724915268977,679947,Bukit Panjang Ring Road,2,Existing (new)
Changi Village Blk 2 and 3,1.3891516483342807,103.98824524769368,500002,Changi Village Road,2,Existing
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.3278341461996204,103.88710266901265,370080,Circuit Road,80,Existing
Circuit Road Blk 79/79A,1.3265970669755378,103.88505228554148,370079,Circuit Road,79,Existing
Ci Yuan Hawker Centre,1.3753225375634037,103.88293193010286,538776,Hougang Avenue 9,51,Existing (new)
Circuit Road Blk 89,1.3235797144355712,103.8854388424852,370089,Circuit Road,89,Existing
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.3143732849239704,103.77080549454163,120353,Clementi Ave 2,353,Existing
Clementi Ave 3 Blk 448,1.3133196935787612,103.76451719252249,120448,Clementi Ave 3,448,Existing
Clementi West Street 2 Blk 726,1.303810731977092,103.76425074802,120726,Clementi West Street 2,726,Existing
Empress Road Blk 7 (Empress Road Market and Food Centre),1.3162405292821697,103.80563670047233,260007,Empress Road,7,Existing
Eunos Crescent Blk 4A,1.3203312605225548,103.90425647876752,402004,Eunos Crescent,4A,Existing
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.321463110363858,103.87000501449864,330069,Geylang Bahru,69,Existing
Geylang Serai Market,1.316736349282815,103.89822788513564,402001,Geylang Serai,1,Existing
Ghim Moh Road Blk 20,1.3109966321422568,103.78823030670418,270020,Ghim Moh Road,20,Existing
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.3151075206359577,103.89558794497685,430013,Haig Road,13,Existing
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.2879705166198658,103.8296234138997,161022,Havelock Road,22A,Existing
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.3081177997946856,103.7927737690562,270044,Holland Drive,44,Existing
Hawker Centre @ Our Tampines Hub,1.3531335979472119,103.94040813551574,528523,Tampines Walk,1,Existing (new)
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.3590838409319475,103.88605536814947,530209,Hougang Street 21,209,Existing
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.3023603479067136,103.88390947410478,432004,Jalan Batu,4A,Existing
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.3540827392695727,103.89013040811673,530105,Hougang Ave 1,105,Existing
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.2800048011364626,103.82601329649792,160112,Jalan Bukit Merah,112,Existing
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.2868829730421196,103.8081312742836,150006,Jalan Bukit Merah,6,Existing
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.2882310148481062,103.83993416821488,161001,Jalan Kukoh,1,Existing
Jurong West Hawker Centre,1.3412641038830853,103.69724185257508,648202,Jurong West Street 61,50,Existing (new)
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.3454169827607771,103.73170383842115,600347,Jurong East Ave 1,347,Existing
Toa Payoh Lorong 8 Blk 210,1.3402610465757185,103.85439575904685,310210,Lorong 8 Toa Payoh,210,Existing
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.3150284150824152,103.87162041651013,380017,Upper Boon Keng Road,17,Existing
West Coast Drive Blk 502 (Ayer Rajah Market),1.3119069571999333,103.7591280191558,120502,West Coast Drive,502,Existing
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.3118030896284905,103.75975140548066,120503,West Coast Drive,503,Existing
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.2852950787883,103.84582428335005,051531,Upper Cross Street,531A,Existing
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.323064938171913,103.85499618356134,320090,Whampoa Drive,90,Existing
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.323428186962711,103.85406019787618,320091,Whampoa Drive,91,Existing
Yishun Park Hawker Centre,1.4249878627577708,103.84474752510276,768867,Yishun Avenue 11,51,Existing (new)
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.4314477516178066,103.82853767194467,760104,Yishun Ring Road,104,Existing
Margaret Drive Hawker Centre,1.2974865589089906,103.80469379769634,142038,Margaret Drive,38A,Existing (replacement)
Anchorvale Village Hawker Centre,1.3967931535173355,103.88843734465244,540339,Anchorvale Road,339,Existing (new)
Fernvale Hawker Centre & Market,1.3917220930377379,103.87703907260794,797650,Sengkang West Avenue,21,Existing (new)
One Punggol Hawker Centre,1.4087476457286714,103.90516945745766,828629,Punggol Drive,1,Existing (new)
Bukit Canberra Hawker Centre,1.4482633636853246,103.8227636322519,756973,Canberra Link,21,Existing (new)
Punggol Coast Hawker Centre,1.4145180096913892,103.90854260132319,829911,Punggol Way,84,Existing (new)
Senja Hawker Centre,1.387194004486905,103.76108397650307,677632,Senja Close,2,Existing (new)
Buangkok Hawker Centre,1.3829816322433666,103.89272100789816,544692,Compassvale Bow,70,Existing (new)
Bukit Batok West Hawker Centre,1.3554458319148786,103.74207854445496,651469,Bukit Batok West Avenue 9,469A,Existing (new)
Woodleigh Village Hawker Centre,1.3397910139953648,103.8720137732096,363202,Woodleigh Link,202C,Existing (new)
Bukit Timah Interim Hawker Centre and Market,1.3407879159379656,103.77521471399332,599213,JALAN SEH CHUAN,2A,Interim Centre
Amoy Street Food Centre (Telok Ayer Food Centre),1.2792312094873002,103.84661927383159,069111,MAXWELL ROAD,7,Existing
Telok Blangah Hawker Centre & Market,1.2732499271477487,103.8084289682175,103078,Telok Blangah Drive,78C,Under Construction
Bukit Timah Market,1.33923656638092,103.77633041443977,588215,Upper Bukit Timah Road,51,Under Construction
Tampines North Hawker Centre,1.3668484230579017,103.9377763570609,529385,TAMPINES STREET 62,27,Under Construction
Tanglin Halt Hawker Centre & Market,1.299651001320326,103.79803174152435,141017,Tanglin Halt Road,17A,Under Construction
Pasir Panjang Food Centre,1.2759179745717486,103.79141090894716,118543,Pasir Panjang Road,121,Existing
Bedok Food Centre,1.320350159875293,103.95547759902762,469572,Bedok Road,1,Existing
Zion Riverside Food Centre,1.2923422109888436,103.8311890232012,247792,Zion Road,70,Existing
Maxwell Food Centre (Kim Hua Market),1.2803314273259558,103.844747227493,069184,Kadayanallur Street,1,Existing
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.36410720947631,103.84824216615792,560341,Ang Mo Kio Ave 1,341,Existing
East Coast Lagoon Food Village,1.3072610657579828,103.93479973740149,468960,East Coast Parkway,1220,Existing
Serangoon Garden Market,1.3630850108080914,103.86672494953132,555945,Serangoon Garden Way,49A,Existing
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.3723194930318616,103.82901814509523,574419,Upper Thomson Road,590,Existing
Chong Pang Hawker Centre & Market,1.4308539599603998,103.82901736490587,768677,Yishun Ring Road,21,Under Construction
Tanglin Halt Market,1.3005440753273743,103.79773798037208,148813,Tanglin Halt Road,48A,Existing
Berseh Food Centre,1.307344109232522,103.85688878360739,208877,Jalan Besar,166,Existing
