name,line,lines,lat,lon,search_term
Kent Ridge,CCL,CCL,1.2929,103.7845,Kent Ridge MRT station Singapore
Haw Par Villa,CCL,CCL,1.2828,103.7826,Haw Par Villa MRT station Singapore
Pasir Panjang,CCL,CCL,1.2759,103.791,Pasir Panjang MRT station Singapore
Labrador Park,CCL,CCL,1.2718,103.8023,Labrador Park MRT station Singapore
Telok Blangah,CCL,CCL,1.2735,103.8093,Telok Blangah MRT station Singapore
HarbourFront,CCL,"CCL,NEL",1.2654,103.8218,HarbourFront MRT station Singapore
Chinatown,NEL,"NEL,DTL",1.2839,103.8437,Chinatown MRT station Singapore
Clarke Quay,NEL,NEL,1.2882,103.8465,Clarke Quay MRT station Singapore
Little India,NEL,"NEL,DTL",1.3066,103.8495,Little India MRT station Singapore
Farrer Park,NEL,NEL,1.3121,103.8549,Farrer Park MRT station Singapore
Boon Keng,NEL,NEL,1.3193,103.8615,Boon Keng MRT station Singapore
Potong Pasir,NEL,NEL,1.3312,103.8693,Potong Pasir MRT station Singapore
Woodleigh,NEL,NEL,1.3395,103.8701,Woodleigh MRT station Singapore
Kovan,NEL,NEL,1.3591,103.8831,Kovan MRT station Singapore
Hougang,NEL,NEL,1.3715,103.8922,Hougang MRT station Singapore
Buangkok,NEL,NEL,1.3832,103.8929,Buangkok MRT station Singapore
Sengkang,NEL,NEL,1.3916,103.8952,Sengkang MRT station Singapore
Punggol,NEL,NEL,1.4051,103.9022,Punggol MRT station Singapore
Bukit Panjang,DTL,DTL,1.3782,103.7762,Bukit Panjang MRT station Singapore
Cashew,DTL,DTL,1.3693,103.7742,Cashew MRT station Singapore
Hillview,DTL,DTL,1.3621,103.7677,Hillview MRT station Singapore
Beauty World,DTL,DTL,1.3413,103.776,Beauty World MRT station Singapore
King Albert Park,DTL,DTL,1.3339,103.7826,King Albert Park MRT station Singapore
Sixth Avenue,DTL,DTL,1.3313,103.7938,Sixth Avenue MRT station Singapore
Tan Kah Kee,DTL,DTL,1.325,103.8073,Tan Kah Kee MRT station Singapore
Botanic Gardens,DTL,DTL,1.3223,103.8152,Botanic Gardens MRT station Singapore
Stevens,DTL,"DTL,TEL",1.3196,103.8261,Stevens MRT station Singapore
Rochor,DTL,DTL,1.3037,103.8541,Rochor MRT station Singapore
Bayfront,DTL,DTL,1.2824,103.8597,Bayfront MRT station Singapore
Downtown,DTL,DTL,1.2793,103.8538,Downtown MRT station Singapore
Telok Ayer,DTL,DTL,1.2804,103.8481,Telok Ayer MRT station Singapore
Fort Canning,DTL,DTL,1.2929,103.8441,Fort Canning MRT station Singapore
Bencoolen,DTL,DTL,1.2985,103.8498,Bencoolen MRT station Singapore
Jalan Besar,DTL,DTL,1.3057,103.8564,Jalan Besar MRT station Singapore
Bendemeer,DTL,DTL,1.3147,103.8628,Bendemeer MRT station Singapore
Geylang Bahru,DTL,DTL,1.3217,103.8712,Geylang Bahru MRT station Singapore
Mattar,DTL,DTL,1.3247,103.8793,Mattar MRT station Singapore
Ubi,DTL,DTL,1.3264,103.9013,Ubi MRT station Singapore
Kaki Bukit,DTL,DTL,1.3345,103.9059,Kaki Bukit MRT station Singapore
Bedok North,DTL,DTL,1.3335,103.9145,Bedok North MRT station Singapore
Bedok Reservoir,DTL,DTL,1.3361,103.9318,Bedok Reservoir MRT station Singapore
Tampines West,DTL,DTL,1.3454,103.938,Tampines West MRT station Singapore
Tampines East,DTL,DTL,1.3554,103.9593,Tampines East MRT station Singapore
Upper Changi,DTL,DTL,1.3414,103.9612,Upper Changi MRT station Singapore
Woodlands North,TEL,TEL,1.4483,103.7865,Woodlands North MRT station Singapore
Woodlands South,TEL,TEL,1.426,103.7989,Woodlands South MRT station Singapore
Springleaf,TEL,TEL,1.3993,103.8169,Springleaf MRT station Singapore
Lentor,TEL,TEL,1.3847,103.8346,Lentor MRT station Singapore
Mayflower,TEL,TEL,1.3703,103.838,Mayflower MRT station Singapore
Bright Hill,TEL,TEL,1.3607,103.8398,Bright Hill MRT station Singapore
Upper Thomson,TEL,TEL,1.3535,103.8316,Upper Thomson MRT station Singapore
Napier,TEL,TEL,1.3065,103.8189,Napier MRT station Singapore
Orchard Boulevard,TEL,TEL,1.3032,103.8231,Orchard Boulevard MRT station Singapore
Great World,TEL,TEL,1.2942,103.8281,Great World MRT station Singapore
Havelock,TEL,TEL,1.2889,103.8354,Havelock MRT station Singapore
Maxwell,TEL,TEL,1.2789,103.8449,Maxwell MRT station Singapore
Shenton Way,TEL,TEL,1.2764,103.8499,Shenton Way MRT station Singapore
Gardens by the Bay,TEL,TEL,1.2827,103.8653,Gardens by the Bay MRT station Singapore
Tanjong Rhu,TEL,TEL,1.2963,103.874,Tanjong Rhu MRT station Singapore
Katong Park,TEL,TEL,1.3042,103.8978,Katong Park MRT station Singapore
Tanjong Katong,TEL,TEL,1.3072,103.9035,Tanjong Katong MRT station Singapore
Marine Parade,TEL,TEL,1.3026,103.9066,Marine Parade MRT station Singapore
Marine Terrace,TEL,TEL,1.3026,103.9123,Marine Terrace MRT station Singapore
Siglap,TEL,TEL,1.3096,103.9238,Siglap MRT station Singapore
Bayshore,TEL,TEL,1.3159,103.9377,Bayshore MRT station Singapore
