project,street,marketSegment,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,x,y,nettPrice
BREEZEWAYS,JALAN MAT JAMBOL,RCR,408.1,-,1,0423,3,5410000,Semi-detached,05,Land,Freehold,23420.0753452489,29044.9883572016,
BREEZEWAYS,JALAN MAT JAMBOL,RCR,320.5,-,1,0922,3,4850000,Semi-detached,05,Land,Freehold,23420.0753452489,29044.9883572016,
CRAIG PLACE,CRAIG ROAD,RCR,69,06-10,1,0921,3,1350000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,84,06-10,1,0522,3,1350000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,53,06-10,1,1122,3,1080000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,61,11-15,1,0123,3,1250000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,68,06-10,1,0922,3,1380000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,52,06-10,1,0424,3,1056000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,52,11-15,1,0324,3,1020000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,52,06-10,1,1123,3,1388800,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,53,06-10,1,0524,3,1080000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,68,11-15,1,1224,3,1450000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,53,06-10,1,0725,3,1080000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
CRAIG PLACE,CRAIG ROAD,RCR,68,11-15,1,1025,3,1580000,Apartment,02,Strata,99 yrs lease commencing from 1997,29007.50377,28944.77922,
THE PLAZA,BEACH ROAD,CCR,63,26-30,1,1021,3,800000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,63,21-25,1,0921,3,788000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,68,26-30,1,1021,3,790000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,71,21-25,1,1121,3,850000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,68,26-30,1,1121,3,845000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,21-25,1,1221,3,1020000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,71,26-30,1,0322,3,900000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,26-30,1,0522,3,1045000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,77,26-30,1,0222,3,930000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,26-30,1,0822,3,1200000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,92,26-30,1,0423,3,1250000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,44,26-30,1,0822,3,710000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,51,21-25,1,0523,3,805000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,21-25,1,0424,3,1020000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,55,21-25,1,0324,3,750000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,26-30,1,1223,3,960000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,78,26-30,1,0824,3,1138000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,78,21-25,1,1123,3,1190000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,78,26-30,1,0124,3,1120000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,51,26-30,1,0724,3,780000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,51,26-30,1,0624,3,820000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,92,21-25,1,1224,3,1250000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,21-25,1,0125,3,951368,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,68,21-25,1,0225,3,888000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,121,26-30,1,0925,3,1600000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,68,26-30,1,1225,3,890000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,26-30,1,0625,3,980000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,63,26-30,1,1025,3,820000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,75,21-25,1,0426,3,980000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,77,21-25,1,0426,3,975000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
THE PLAZA,BEACH ROAD,CCR,44,26-30,1,0526,3,660000,Apartment,07,Strata,99 yrs lease commencing from 1968,31041.43821,31330.93671,
MURANO,PASIR PANJANG ROAD,RCR,80,01-05,1,0821,3,1080000,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
MURANO,PASIR PANJANG ROAD,RCR,190,01-05,1,0722,3,2108888,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
MURANO,PASIR PANJANG ROAD,RCR,98,01-05,1,0223,3,1388888,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
MURANO,PASIR PANJANG ROAD,RCR,80,01-05,1,0124,3,1300000,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
MURANO,PASIR PANJANG ROAD,RCR,99,01-05,1,0224,3,1550000,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
MURANO,PASIR PANJANG ROAD,RCR,80,01-05,1,0825,3,1331888,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
MURANO,PASIR PANJANG ROAD,RCR,98,01-05,1,0425,3,1690000,Apartment,05,Strata,Freehold,21571.30413,30196.76942,
LANDED HOUSING DEVELOPMENT,JALAN MAT JAMBOL,RCR,151.8,-,1,1025,3,5650000,Terrace,05,Land,Freehold,,,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,84,21-25,1,1221,3,1600000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,31-35,1,1221,3,1700000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,84,21-25,1,0322,3,1665000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,26-30,1,0422,3,1700000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,122,31-35,1,1221,3,2250000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,90,36-40,1,0222,3,1738000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,26-30,1,0522,3,1068000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,11-15,1,0323,3,1700000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,55,26-30,1,0223,3,1110000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,11-15,1,0723,3,1040000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,55,16-20,1,1223,3,1090000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,90,21-25,1,0823,3,1748000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,16-20,1,0324,3,1152000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,16-20,1,0224,3,1148000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,55,36-40,1,1124,3,1163000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,26-30,1,0724,3,1820000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,11-15,1,0924,3,1735000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,90,26-30,1,0924,3,1843800,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,21-25,1,0524,3,1810000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,11-15,1,1023,3,1730000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,16-20,1,1124,3,1800000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,11-15,1,0724,3,1750000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,16-20,1,1224,3,1150000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,122,36-40,1,1024,3,2650000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,122,26-30,1,0925,3,2490000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,26-30,1,1125,3,1200000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,11-15,1,0226,3,1872888,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,16-20,1,0525,3,1155000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,122,26-30,1,1025,3,2700000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,31-35,1,0825,3,1180000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,84,26-30,1,0225,3,1736000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,57,31-35,1,0225,3,1222000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,122,26-30,1,0225,3,2520000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,84,21-25,1,0225,3,1720000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,84,26-30,1,0525,3,1750000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,55,16-20,1,0525,3,1128000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,21-25,1,0626,3,1800000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,89,26-30,1,0426,3,1800000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,55,11-15,1,0726,3,990000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
SOUTHBANK,NORTH BRIDGE ROAD,RCR,84,31-35,1,0526,3,1850000,Apartment,07,Strata,99 yrs lease commencing from 2006,31448.88726,32070.8669,
LANDED HOUSING DEVELOPMENT,WISHART ROAD,RCR,326.4,-,1,0125,3,5200000,Semi-detached,04,Land,Freehold,,,
LANDED HOUSING DEVELOPMENT,WISHART ROAD,RCR,347.2,-,1,0526,3,5600000,Semi-detached,04,Land,Freehold,,,
ENG HOON MANSIONS,ENG HOON STREET,RCR,132,01-05,1,1223,3,2180000,Apartment,03,Strata,Freehold,28130.67688,29549.06329,
DOMAIN 21,DELTA ROAD,RCR,52,16-20,1,0726,3,1000000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,52,06-10,1,0122,3,930000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,86,11-15,1,1221,3,1000000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,01-05,1,0322,3,2030000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,82,11-15,1,0422,3,1408000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,06-10,1,0122,3,2070000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,01-05,1,1022,3,2128000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,102,21-25,1,0922,3,1765000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,84,06-10,1,1222,3,1600000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,84,11-15,1,0223,3,1630000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,84,11-15,1,0223,3,1610000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,11-15,1,0323,3,2150000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,82,11-15,1,1022,3,1510000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,96,16-20,1,0623,3,1950000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,84,21-25,1,0623,3,1700000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,52,11-15,1,0724,3,980000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,86,16-20,1,0124,3,1780000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,16-20,1,0524,3,2708800,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,173,21-25,1,0424,3,3500000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,82,16-20,1,1224,3,1771000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,96,01-05,1,1124,3,2080000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,16-20,1,0525,3,2650000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,82,16-20,1,0226,3,1750000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,84,16-20,1,0725,3,1700000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,16-20,1,1125,3,2680000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,16-20,1,1025,3,2690000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,119,06-10,1,0626,3,2640000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
DOMAIN 21,DELTA ROAD,RCR,86,16-20,1,0426,3,1950000,Condominium,03,Strata,99 yrs lease commencing from 2004,27131.25496,30470.66198,
WALLICH RESIDENCE,WALLICH STREET,CCR,122,46-50,1,1021,3,4220000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,60,46-50,1,1221,3,2330000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,164,41-45,1,0921,3,5180000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,60,46-50,1,1221,3,2100000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,326,56-60,1,1021,3,17000000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,187,56-60,1,0322,3,7650000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,85,51-55,1,0522,3,3415000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,160,56-60,1,0522,3,6350000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,187,56-60,1,0622,3,7800000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,160,56-60,1,0722,3,6550000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,122,41-45,1,0722,3,4200000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,160,56-60,1,0422,3,6400000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,155,46-50,1,1221,3,5225000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,162,51-55,1,0822,3,6300000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,166,36-40,1,0622,3,5100000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,162,41-45,1,0622,3,5190000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,154,51-55,1,0622,3,6015000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,159,41-45,1,0822,3,5300000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,163,41-45,1,0223,3,5185000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,154,51-55,1,0922,3,5863000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,186,56-60,1,1022,3,7815000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,162,41-45,1,0122,3,5158000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,117,56-60,1,1122,3,5000000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,152,46-50,1,0423,3,5385000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,85,51-55,1,0523,3,3294000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,117,56-60,1,1222,3,5250000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,163,51-55,1,1022,3,6270000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,80,46-50,1,0623,3,2600000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,60,51-55,1,0724,3,1800000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,102,46-50,1,0824,3,3200000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,153,46-50,1,0924,3,4938000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,122,41-45,1,0924,3,4128000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,155,46-50,1,1023,3,5210000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,164,51-55,1,0724,3,5080000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,160,41-45,1,0823,3,5163000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,154,51-55,1,0525,3,6030000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,156,46-50,1,0325,3,4880000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,102,51-55,1,0126,3,3528000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,60,36-40,1,0825,3,1640000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,85,56-60,1,0225,3,3088000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,85,56-60,1,0225,3,3128000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,80,46-50,1,1125,3,2788800,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,160,56-60,1,1225,3,5700000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,60,46-50,1,0426,3,1780000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,60,46-50,1,0526,3,1800000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
WALLICH RESIDENCE,WALLICH STREET,CCR,111,51-55,1,0326,3,3250000,Apartment,02,Strata,99 yrs lease commencing from 2011,29387.98658,28842.67269,
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,RCR,83,01-05,1,0821,3,1510000,Condominium,04,Strata,99 yrs lease commencing from 1999,25917.2871,27763.86233,
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,RCR,83,06-10,1,0821,3,1588000,Condominium,04,Strata,99 yrs lease commencing from 1999,25917.2871,27763.86233,
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,RCR,82,01-05,1,0722,3,1580000,Condominium,04,Strata,99 yrs lease commencing from 1999,25917.2871,27763.86233,
